Code,Name,Description
COMM177,The Legal Community and the Courtroom,The legal system is a core social institution in every human society. In this course we will examine and critique the communication events that structure legal interaction. In order to discern the effects of particular communication styles and expect...
COMM178,Dark Side of Interpersonal Communication,"Provides an examination of recent and noteworthy scholarship from a variety of social scientific disciplines regarding the dark side of interpersonal/relational communication. Dark side topics covered include, but are not limited to: social aggressio..."
COMM179,Music Communication,"Examines music as a form of communication distinct from traditional verbal and nonverbal forms, and considers how our relationship with music shapes and reflects our social, emotional, or cognitive states and identities. Takes a social scientific app..."
COMM180,Senior Honors Seminar,"Seminar covers methodological, theoretical and procedural issues involved in undertaking a senior honors thesis."
COMM181A,Senior Honors Thesis,Independent work with faculty sponsor culminating in senior thesis.
COMM181B,Senior Honors Thesis,Independent work with faculty sponsor culminating in senior thesis.
COMM181C,Senior Honors Thesis,Independent work with faculty sponsor culminating in senior thesis.
COMM182,Using Communication Research in Everyday Life,Demonstrates how communication research is used in everyday and professional life. How does Nielsen determine viewership of TV? How do news polls determine public attitudes? Considers the public delivery and personal interpretation of communication r...
COMM183,Intercultural Communication Competence,"Investigates theories and concepts related to the intersections between culture, ethnicity, race, identity, and human interaction. Students explore how cultural nuances, stereotypes, prejudices, and misperceptions lead to miscommunication, and will f..."
COMM184,"Social Media: The Good, the Bad & the Ugly","Examines the beneficial, harmful, and always complicated implications of social media use across micro- and macro- levels of analyses. We focus on how these systems enhance and impede individual and socio-political self-expression, especially for tho..."
COMM185,Communication Technology and Relationships,"Explores issues and questions about computer-mediated communication and social media in a variety of relationship stages (such as impression formation and relational development to relationship maintenance and termination), contexts (friendship and r..."
COMM186,The Digital Divide,"Information and communication technologies (ICT) have become essential for survival in the 21st century. Most people in industrialized settings rely on the internet for all aspects of life, including education, employment, healthcare, politics and pe..."
COMM187,Data Science in Communication,"Explore Data Science in Communication (and other related Social Sciences) and delve into issues of not just computational methodologies and processes (and related concepts such as ""Big Data"", ""Machine Learning"", and ""Artificial Intelligence""), but al..."
COMM188,"News, Politics, & Democracy",Explores the role of the news media in sustaining American democracy. Student projects identify the most difficult problems facing American journalism and propose creative solutions for helping the news media fulfill its democratic function. Topics i...
COMM191,Applying Communication to Internships in Organizations,Field experience combined with communication theory and current literature. Students must hold an 8-10 hour internship in the field of communication throughout the quarter in which they are enrolled in the class. Weekly lecture topics include theorie...
COMM194,Group Studies for Advanced Students,Selected topics in accordance with instructor's area of specialization.
COMM197,Communication Internship,"An opportunity for pre-communication and communication majors to obtain credit for career-related experience and application of academic training in a communication-related internship. Required are 50 hours minimum of internship work, a final five-pa..."
COMM199,Independent Studies in Communication,Independent studies in communication.
COMM199RA,Independent Research Assistance in Communication,Coursework consists of faculty supervised research assistance.
COMM200,Communication Theory Construction,The nature of theory and theory building in human communication.
COMM201,Communication Theory,"Provides a broad overview to the study of human communication by surveying theories of language, interpersonal communication, persuasion, small group communication, organizational communication, and mass communication."
COMM204A,Research Methods in Communication,A survey of research methods in the social sciences applicable to communication research.
COMM204B,Introduction to Applied Statistics,"This course provides an introduction to applied statistics for communication research with a focus on the theory andpractice of significance testing, correlation and regression, and basic ANOVA modeling. This course prepares graduate students for the..."
COMM204C,Advanced Topics in Research Methods and Statistical Analysis,"Provides students with experience in advanced topics in multivariate statistics and computer programs. Analyses includes multiple regression, MANOVA, log linear analyses, and other advanced techniques."
COMM204M,Mixed Methods in Communication Research,"Mixed methods research is defined as research in which the investigator collects and analyzes data, integrates the findings, and draws inferences using both qualitative and quantitative approaches or methods in a single study or program of inquiry (J..."
COMM205,Evolution and Human Communication,"An introduction to evolutionary psychology and costly signaling approaches to the evolution of human communication. Topics include but are not limited to: language, gossip, pathogen avoidance, deception, laughter, norms, aggression, hierarchies, mati..."
COMM206,Group Communication,"Readings on research concerning group processes from social and behavioral sciences, with special attention to latest communication apporaches to group interaction. Design of research projects on small group communication."
COMM207,Interpersonal Communication,Analysis of theory and research related to interpersonal communication processes.
COMM210,Language and Communication Processes,"Social psychology of language and communication examined from the ""social identity approach."" From this perspective, which claims that our attitudes, beliefs, and behaviors flow from our self-conceptions as group members, we investigate concepts such..."
COMM211,Seminar: Nonverbal Communication,"Analysis of nonverbal behavior as communication, with a special emphasis on design and implementation of research."
COMM212,Content Analysis,"A methodology course focusing on the planning and execution of social scientific analyses of communication content; begins with the examination of where meaning resides, then moves into procedures for designing a content analysis study, gathering dat..."
COMM213,"Mass Media, the Individual, and Society",The cognitive and social psychological effects of mass media on the individual and society. Focus is on empirical research as it informs communication theory.
COMM214,Social Media,"Explores sociotechnical trends prompted by the evolution of technologies of communication and information. Using perspectives from social science, computer science, engineering, and the humanities, the course focuses on evidence, theory, and directio..."
COMM217,Theories of Persuasion,Surveys theories and research of persuasion in both interpersonal and mass mediated contexts. Students will be introduced to the major paradigms of persuasion research and will gain some degree of mastery over the sub-field(s) that most interest them...
COMM222,Organizational Communication,"Classical/administrative, human relations/resources, systems, interpretive/cultural, and critical approaches to organizational communication. Theory and research on organizational structures and environments; power, authority and influence; communica..."
COMM222C,Technology and Organization,"Examination of critical issues in contemporary communication theory and research implicating advanced communication and information technologies and their relation to organizational dynamics, structure, and change."
COMM224,Family Communication,"Examines theory and research on the role of communication in voluntary and involuntary family relationships of diverse forms. Students will learn about the history of family communication scholarship, prominent theories of family communication, and e..."
COMM228,Intergroup Communication,"Analysis of theory and research related to intergroup relations, with special attention to the role of language use and variation as a means of communication about intergroup relations."
COMM229,Intergenerational Communication and Aging,"Theory, research and practice in communication and aging. Focus on intergenerational discourse, age identity and psychological well being."
COMM232,Mass Media Law and Policy,"Survey of the fundamental and regulatory policies governing electronic mass media, emphasizing broadcast television. Considers both structural and content-based regulation. Analyzes the policy-making process as well as the outcome of major communicat..."
COMM234,Cognition and Mass Communication,Review of current research of theories in the cognitive processing of mass media. Special consideration is given to attention and memory for television.
COMM236,Membership: Organization and Group Socialization and Identification,"Focuses on membership negotiation (organizational socialization, assimilation, and identification). Examination of workplace interaction and communication that develops and maintains workplace relationships. Discussions/readings emphasize theories re..."
COMM251,Relational Communication,"Examines theory and research on the role of communication in the development, maintenance, and disintegration of close relationships, such as romantic relationships and friendships. Students will learn about diverse research methodologies utilized in..."
COMM253,Corporate Social Responsibility: A Communication Perspective,"The study of Corporate Social Responsibility (CSR) is burgeoning as CSR is being rapidly transformed from a vision championed by a small number of companies to a widespread global movement that engages corporations, non-governmental and governmental..."
COMM255,Survey of Health Communication,"Students will be introduced to theories and research relating to health communication in intrapersonal, interpersonal, and mass mediated contexts broadly speaking as well as gain some degree of mastery over the sub-field(s) that most interest them."
COMM280,Qualitative Methods in Communication,"This course provides an overview of qualitative research methods, including in-depth interviewing, participant observation, and grounded theory. Using exemplars, it also examines approaches to data analysis, specifically, constant comparison method,..."
COMM500,Teaching College Communication,"Theory of teaching communication at the college level. Topics include self-presentation, facilitating discussion, constructing examinations, grading examinations and term papers, providing feedback, and professionalism."
COMM505,Issues in Communication Research,"Presentation of research completed or in progress by students, faculty and guest speakers followed by critical discussion of the issues raised."
COMM593,Directed Reading,"Individual tutorial. Provides students with the same material as a regular course except it is conducted on an individual basis with a faculty member. Written contract describing the course, readings, and assignments should be submitted to the depart..."
COMM593A,Directed Reading,"Individual tutorial. Provides students with the same material as a regular course except it is conducted on an individual basis with a faculty member. Written contract describing the course, readings, and assignments should be submitted to the depart..."
COMM594,Special Topics,Special seminar on research subjects of current interest.
COMM594CE,Special Topics: Community-Engaged Communication Research,"This graduate seminar introduces students to various types of community-engaged research across a wide range of domains within the communication discipline, including interpersonal, organizational, and media and technology. Philosophies, goals, and m..."
COMM594CM,Computer Mediated Communication,"Examines landmark theories from a variety of disciplines, all or most of which preceded digital communication, that provide the theoretical dynamics that inform, embody, or are altered by computer-mediated communication and online social interaction...."
COMM594CT,Computational Textual Analysis for Communication Research,"This course provides an introduction to computational methods in textual analysis, specifically designed for those in the field of communication research. This course is practical and hands-on in nature and focuses on theoretical and empirical questi..."
COMM594DD,The Digital Divide,"Information and communication technologies (ICT) have become essential for survival in the 21st century. Most people in industrialized settings rely on the internet for all aspects of life, including education, employment, healthcare, politics and pe..."
COMM594EM,Special Topics: Emotion and Media Effects,"Overview of the the ways in which emotion has been integrated into the study of media effects, focusing on emotion as a predictor of media selection, as an outcome of media exposure, and as the mechanism by which other media effects occur. Traditiona..."
COMM594GC,Special Topics,Special seminar on research subjects of current interest.
COMM594IR,Communication & International Relations,"Seminar exploring the nature, role and influence of globalization and technology on communication and international relations. Examines how these impact the media, the audience and policymakers. Considers the context in which this communication occur..."
COMM594MD,Media Representation of Diversity,"Explores social scientific theory and research on intergroup dynamics and how media representations of diversity affects these relations. In the beginning of the term, we focus on a) social psychological explanations of intergroup dynamics and biases..."
COMM594MS,Special Topics,Special seminar on research subjects of current interest.
COMM594QM,Special Topics,Special seminar on research subjects of current interest.
COMM594RC,Risk Communication,"Explores theories and models that aid in risk message design, channels of communication, and barriers (psychological, communicative, and structural) to effective risk communication. We use Plough and Krimsky’s (1987) definition of risk communication:..."
COMM594SW,Scholarly Writing,Special seminar on research subjects of current interest.
COMM594TO,Collaborative Technology and Organizing,"Examination of contemporary theory and research on the role of communication technology in organizations and processes of organizing, including remote work, virtual teams, globally distributed organizations, online communities, and online social move..."
COMM595,Group Studies,Critical review of research in selected fields.
COMM596,Directed Research,"Individual tutorial. Provides students with supervised research experience including any of the following: reviewing literature, formulating research questions, designing measures, collecting and analyzing data, and writing papers. Written proposal m..."
COMM596A,Directed Research,"Individual tutorial. Provides students with supervised research experience including any of the following: reviewing literature, formulating research questions, designing measures, collecting and analyzing data, and writing papers. Written proposal m..."
COMM597,Preparation for the Qualifying Examination,Directed group or individual preparation for the master's or doctoral qualifying examination.
COMM598,Master's Thesis Research and Preparation,The thesis is done under the direction of the chair of a student's thesis committee.
COMM599,Dissertation Preparation,Course is reserved for writing the dissertation.
COMM87,Statistical Analysis for Communication,"An introduction to basic statistical concepts and applications in communication research. Through lecture and computer labs, students are exposed to the principles and procedures involved in quantitative data analysis."
COMM88,Communication Research Methods,"An introduction to social scientific research methods in the study of communication. Important issues in conducting research are examined in the contexts of survey research, experimental design, content analysis, and qualitative research."
COMM89,Theories of Communication,"An introduction to major theories and theoretical influences in the field of communication. Theories are examined in the areas of verbal and nonverbal messages, cognition and persuasion, and the contexts of interpersonal, intercultural, small group,..."
COMM99RA,Independent Research Assistance in Communication,Coursework consists of faculty supervised research assistance.
C LIT100,Introduction to Comparative Literature,"Focus on various practices and methodologies of Comparative Literature as a cross-disciplinary and transnational endeavor, including recent developments and debates on translation studies and world literature in an era of cultural globalization. Cont..."
C LIT101,Introduction to Literary and Critical Theory,"How does critical theory help us to read and write literature? Potential foci include structuralism, semiotics, social theory, psychoanalysis, deconstruction, cultural criticism, gender studies and feminism, queer studies, postcolonial criticism, eco..."
C LIT102A,Introduction to Translation I,"Comprises topics necessary to develop skills that are needed for writing at a specialized level and to carry out written translation into and from Spanish, mostly texts on business and medical topics."
C LIT102B,Introduction to Interpreting,Comprised of topics necessary in developing skills for interpretation to and from Spanish. Intended mostly for proficient Spanish-language speakers.
C LIT102C,Specialized Translation - Technical,"Comprised of topics necessary in developing skills for writing at a specialized level, and with specialized vocabulary and format, for the translation of different types of technical texts (instruction manuals, medical, patents, etc.)."
C LIT103,Going Postal: Epistolary Narratives,"Investigates reappearance of the letter-novel at particular historical moments, and paradoxes built into the letter-form itself. Range of works emphasizing eighteenth- and later twentieth-century novels, likely works by Austen, Goethe, Hoffman, James..."
C LIT107,Voyages to the Unknown,"The impact of the voyages of discovery on late 15th and 16th century Europe. Readings on real and imaginary voyages: Columbus, Cartier, Lery, More, Rabelais, Montaigne."
C LIT108,Crossreadings : French and Italian Cultures in Dialogue and Translation,"Ever since the Renaissance, when the notion of a national culture had taken hold, the historic, literary and intellectual trajectories of France and Italy have been intimately entangled. Taking a chronological approach from the Renaissance to the pos..."
C LIT109,Game and Literature,"An interdisciplinary inquiry into the motive of game in 18th-20th century literature. Focus is on the moral, psychological and epistemological dimensions of game according to both form and function. Considerations of the stylistic, narrative and rhet..."
C LIT111,Dreaming in Cultural Context,"Explores dreams and dreaming in multiple historical and cultural contexts and pays particular attention to dreams and dream reports as unconscious and intra-psychic as well as social and cultural communications. A variety of historical, ethnographic,..."
C LIT113,"Trauma, Memory, Historiography","How do individuals, communities, cultures, nations remember and/or forget, preserve and/or erase, traumatic events?"
C LIT114,"Dante's ""Divine Comedy""","Dante's masterpiece, The Divine Comedy, remains among the most astonishing works of world literature. This course follows the pilgrim's progress through Inferno, Purgatorio and Paradiso in search of ""love that moves the sun and the other stars."""
C LIT115,Introduction to Folk Tales,"Broad survey of folk tales from all over the world. Types, motifs, research, and history."
C LIT119,Psychoanalytic Theory,Topic to be addressed each quarter will be chosen from the following: origins of psychoanalysis; sado-masochism; the death-drive; psychoanalysis and the law; group psychology; psychoanalysis and the media; literature andpsychoanalysis.
C LIT121,"Epic Heroes, Classic Texts","Through readings of the three major epics of Greek and Latin Antiquity (the Iliad, the Odyssey, and the Aeneid, read in English translation) and some of their modern rewritings, this course allows students to (1) explore the changing idea of hero and..."
C LIT122A,Representations of the Holocaust,Close reading of post-Holocaust literature. Taught in English.
C LIT122B,Holocaust in France,"Through analysis of testimonies, memoirs, fiction, and film, this course focuses on France under the Nazi occupation. Topics include the Vichy Regime (1940-1945), the Resistance Movement, the Church under Vichy, anti-Semitism, deportations and concen..."
C LIT122C,Holocaust in Italy,"Through readings of memoir, fiction, and film, this course investigates the fate of Jews under the Italian Fascists of Benito Mussolini (1922-1945). Topics include Fascism, Communism, anti-Semitism, Italian cooperation with the Nazis, the Catholic Ch..."
C LIT126,Comparative Black Literatures,"Using a social constructionist approach to race, this course examines the multiple ways in which racial discourses operate in global literary cultures. It emphasizes that blackness need not be a homogeneous concept in order to continue to be a powerf..."
C LIT128A,Children's Literature,"Classic texts and theories of children's literature, from Perrault and Wilde to Freud and Propp. Examination of narrative and ideological strategies for constructing and representing ""childhood"" in modernity, with emphasis on their relationship to th..."
C LIT129,Theory and Text: Representations of the Self in the Renaissance,"An examination of representations of the self inRenaissance literature and culture. Readings will include works by Petrarch, Shakespeare, Castiglione, Montaigne, Quevedo, and theoretical texts by Foucault, Greenblatt, Eakin."
C LIT130,"Music, Literature and Black Lives","Explores how African American music and literature influence one another formally, and how music and musicality in African American literature are at the core of its power to resist and subvert racialized violence."
C LIT133,Transpacific Literature,"Looks at the Pacific as the primary location for literary and historical imagination since the Age of Exploration. Studies the crisscross, transpacific field of inscriptions ranging from Captain Cook to Herman Melville, Mark Twain, Jack London,and Ma..."
C LIT134,Poetics of the Second Language,"What is the effect of writing in a language other than ones own? Why choose to do so in the first place? In this course, we explore the works of various novelists and poets who, for one reason or another, choose to write in a foreign language, turnin..."
C LIT139,"China in Translation: Theory, Art, History","Uses the case study of translations into and out of China- long regarded as a civilization distinct from west- to explore themes in translation studies. Topics: ideograms, orientalism, modernization, world literature, annotations, musicality, poetic..."
C LIT139TX,Italy as Destination: Italian Travel Literature,"Taught in English, this course is a study of Italian travel literature within Italy and abroad, from Marco Polo to the present day."
C LIT142,Literary Adaptation in East Asia,"Explores literary adaptation and intertextuality in East Asia through primary texts and readings from critical theory. Among the texts considered are traditional poetry, The Tale of Genji, Chinese ""strange tales,"" and representations of history and l..."
C LIT146,Robots,"From eighteenth-century clockwork automata to Turing's universal machine, investigation of the function and representation of machines in literature,philosophy, film and animation. Texts by Kant, Villiers de L'Isle-Adam, Kafka, Wiener, and Alan Turin..."
C LIT147A,Language and Knowledge in Medieval Islam,"Examines representative conceptions and practices of language in Islamic thought and history. Questions addressed in this course range from conceptions of language in exegetical, theological, mystical, and legal traditions to its practices in writing..."
C LIT148,Creative Chaos,"Chaos: is it primordial mayhem and confusion? Or does chaos permit the possibility of form and creativity? Course explores the order and disorder of chaos within literary, scientific, and philosophical narratives. From Hesiod and Ovid through Diderot..."
C LIT151,Global Linkages of the African Diaspora,"Surveys historical moments that define the African Diaspora and mark its global dimensions. We also examine the contributions of scholars, writers, and artists who further our understandings of African diaspora as concept and field of study."
C LIT152,Digital Humanities Practice,"In the 21st century, scholars have increasingly turned to computational methods for the analysis of large corpora of art and literature. While early methods of distant reading and distant viewing could be realized with off-the-shelf software, contemp..."
C LIT153,Border Narratives,"Examination of novels, short stories, and films that engage U.S./Mexico border dynamics. Considering the ways diverse, interactive processes are affecting border culture, and inquiring into the ways cultural products critically respond to these proce..."
C LIT153B,French Theatre in Translation,"A study of French theatre through the centuries, considered within the cultural context of the day (Classicism, the Enlightenment, Romanticism, the Absurd, etc). Plays by Molire, Marivaux, Beaumarchais, Hugo, Musset, Ionesco, and Beckett. Lectures an..."
C LIT154,Science Fiction in Eastern Europe,"The genre of science fiction and its development in literature and film in the various cultures of eastern europe. Topics include utopia, dystopia,technology, the ""mad"" scientist, etc. Taught in English."
C LIT154I,"Economic Fictions: Literature, Film, and Theory","How have Western thinkers represented economic concepts since the eighteenth century? Themes may include free market liberalism, labor theories of value, household and family economics, currency/monetary policy, associationism/socialism, globalism/ex..."
C LIT155,Critical Artificial Intelligence,"Artificial intelligence now affects nearly all aspects of human life and knowledge production, from labor to language, and from fundamental physics to the arts. The pivotal role of the humanities lies in the critical analysis of the specific cultural..."
C LIT161,Literature of Central Europe,"Investigation of the prolific literatures of central Europe, one of the culturally and linguistically most diverse regions of the European continent that has produced writers such as Italo Svevo, Franz Kafka, Robert Musil, Bruno Schultz, and others...."
C LIT162,Sexuality and Globalization,"Examines globalizing cultural politics of sexuality through literature, popular media, subaltern performances, and press discourse from Global South; engages questions of ""universalized"" LGBTQ identities, Islamic law and sexual rights, militarized ma..."
C LIT162I,"Desire, Sex, and Romance in Traditions of India","Explores questions of love and sex across two thousand years of Indian religious thought. The reading list includes some of the most famous voices in South Asian literary history. We will tour various genres: moral teachings, epic narrative, drama, d..."
C LIT163,Digital Visual Studies,"In the past ten years, the scope of the digital humanities has broadened to include the visual world: distant reading became distant viewing. This visual turn has not only facilitated the digital transformation of traditional disciplines like art his..."
C LIT164D,Russian Cosmism,"A focus on fictional and non-fictional texts, films, and art centered on the Russian fascination with outer space, science, and technology, from the 19th century to the present day. Russian Cosmism opens up new perspectives on Russian 19th century ph..."
C LIT165,East Asian Buddhist Poetry,"Introduces Buddhist poetry of China, Japan, and Korea. Emphasizes the diversity of literary encounters with the teachings and practices of Buddhism. Topics include Hanshan, Basho, Zen koans, Gary Snyder, and monastery cats."
C LIT170,Translation as Metaphor: Introduction to Translation Theory and Practice,"The course aims to develop skills in terminology and technologies of translation; it also examines the practical and theoretical issues pertaining to translation as an artistic, cultural, and ethical process. Focus on literary translation as creative..."
C LIT171,Post-Colonial Cultures,"Study of fiction from the Caribbean, West Africa, and the Maghreb. Born of the conflict between and hybridization of widely differing cultural traditions, this course provides insights into the vibrancy of contemporary post-colonial societies, the on..."
C LIT174,Metamorphosis,"Narratives of metamorphosis challenge our preconceived notions of identity and form. This course investigates metamorphosis as a scientific, social, and philosophical problem, drawing from literature (Ovid, Stevenson, Kafka, Cortazar, etc.) and the v..."
C LIT175,Literatures of Eurasia,"Examines literature and culture from a region or regions situated at the crossroads between Europe and Asia, such as Central Asia (Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan), the Caucasus (Armenia, Azerbaijan, Georgia, and part..."
C LIT175A,Literatures of Eurasia: Armenian Literature,"Examines literature and culture from a region or regions situated at the crossroads between Europe and Asia, such as Central Asia (Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan), the Caucasus (Armenia, Azerbaijan, Georgia, and part..."
C LIT179A,"Revolutions: Marx, Nietzsche, Freud","Marx, Nietzsche, and Freud have revolutionized our world: Marx, the political and economic landscape; Nietzsche, the realm of philosophy and literature; and Freud, the way we think of our mind, sexualities, wishes and dreams. Explorations of three re..."
C LIT179B,Mysticism,"Analysis of German mystical writing, its roots in ancient Greek texts, revolutionary impact, links with other mystical traditions, and influence on secular literature. Texts include Hildegard von Bingen, Meister Eckhart, Mechthild von Magdeburg, Nova..."
C LIT179C,Mediatechnology,"Telegraph, telephone, phonograph, and film are techniques that have engendered new forms of representation, communication, and thinking. Course studies the impact of these transformations in literature and on literature. Taught in English."
C LIT180,The European Renaissance,"The generic forms of cultural issues characteristic of early modern European poetry, fiction, and drama. Such authors as Petrarch, Boccaccio, More, Rabelais, Ariosto, Montaigne, Camoes, Shakespeare, Lope de Vega, and Cervantes."
C LIT181,"Special Topics in Russian, East European, and Eurasian Studies","In-depth examination of specialized topics with contemporary relevance or historical significance within the study of Russian, East European, or Eurasian literature, culture, and thought. Topics will vary by instructor. Topics may include: Holy Fools..."
C LIT181A,"Special Topics in Russian, East European, and Eurasian Studies: Holy Fools","In-depth examination of specialized topics with contemporary relevance or historical significance within the study of Russian, East European, or Eurasian literature, culture, and thought. Topics vary by instructor. Topics may include: Holy Fools, Chi..."
C LIT181B,Ukrainian Cinema and Culture,"This seminar explores the history of Ukrainian cinema and culture from the early 20th century to the ongoing Russo-Ukrainian War, examining how it relates to the broader political, social, regional, and cultural contexts. Taught in English."
C LIT181C,Southeastern European Literature,A special topics course covering a selection from the southeast European canon. Selections determined by instructor
C LIT183,Cognitive Poetics,This course is designed to enable students to use cognitive neuroscience to read world literature. It is centered around two general issues: how our hunter-gatherer brain supports the production of a wide range of literature and how the study of lite...
C LIT184A,From Superman to Spiegelman: The Jewish Graphic Novel,"This survey of graphic novels by Jewish authors will include selections of early comics, works by American authors such as Eisner, Spiegelman, and Pekar, and Israeli graphic novels. The seminar-style discussions will address varied themes, including..."
C LIT184B,Photography and Religion,"Offers an examination of the relationship between religion and photography through history, based on the consideration of photography as both an artistic medium and a social and performative practice. Alongside analysis of the function of photographs..."
C LIT184C,"Identity, Feminism, and Secularism in Hebrew Literature","Provides a broad overview of Modern Hebrew literature, spanning from its origins in the eighteenth century to the contemporary era. Aims to shed light on the factors that make this literature distinctive and fascinating. The course delves into variou..."
C LIT184KA,Major Works in German Literature: Kafka,"A selection of Franz Kafka's novels, short stories and diaries will be closely read and analyzed. Readings, lecture and discussion in English."
C LIT185,Science and Technology in European Philosophy,"Introduces various positions from the history and present of European philosophy that speak to questions of science and technology. Readings may include Aristotle, Descartes, Kant, Nietzsche, Freud, Heidegger, Arendt, Bachelard, Koyr, Caillois, Fouca..."
C LIT186,Interdisciplinary Comparative Literature Studies,"Interdisciplinary examination of selected topics, theories, disciplinary issues, and/or methodological questions in the combined study of literature, and other areas of the humanities and humanistic sciences. Course focus will be determined by the in..."
C LIT186AA,Moving Bodies: Stories of Migration,Moving Bodies: Stories of Migration. Examines the experience of migration by focusing on how the Basques settled in the American West.
C LIT186AD,Adultery in the Novel,"Marriage and adultery in Western narratives. We explore narrative techniques as well as relations between love, law, and gender. Readings include 19th-century novels from Europe and Brazil."
C LIT186B,Gender in Basque Culture,"Using Basque culture as a case study, this course explores how gender intersects with other crucial issues such as ethnicity, nationhood, and globalization."
C LIT186BB,The Aftermath of Enlightenment,"Introduces the critical study of biography before examining Buddha's life as the foundation of all Buddhist biographies. Then considers Tibetan accounts of life after enlightenment, from chaste monks to drunken tantrikas, to discuss Buddhist ethics a..."
C LIT186BU,Bulgakov,Intensive study of Bulgakov. Readings supplemented by selected criticism. Taught in English.
C LIT186CC,The Basques Through Film,The Basques through Film. Provides a critical examination of the history and poetics of Basque film from the last three decades.
C LIT186DD,Interdisciplinary Comparative Literature Studies,"Interdisciplinary examination of selected topics, theories, disciplinary issues, and/or methodological questions in the combined study of literature, and other areas of the humanities and humanistic sciences. Course focus will be determined by the in..."
C LIT186DF,Documentary Filmmaking & Democracy,"Documentary films and the advent of democracy in the late twentieth century. Topics include the exploration of the effect of technology on documentary film as an aesthetic form, a material medium, and an ideological construct."
C LIT186E,Conflict and Memory in Cultural Production,"Conflict, Memory and Cultural Production. Explores how Basque writers and artists engage and create memory narratives in times of war and violence."
C LIT186EB,Basque Studies Through Literature and Culture in Translation (Spanish/English),"The course delves deeper into the diversity of topics that make up Basque Studies, analyzing historical, but also contemporary socio-cultural topics related to the Basque Country and the Basque diaspora abroad. The course can be taken either as a con..."
C LIT186EE,"Exile, Displacement, and Estrangement in Literature and Film","A focus on contemporary representations of exile and displacement, and exiled authors and thinkers from Latin America and Europe. Primary sources include texts about European exiles in the Americas, Latin American exiles in Europe, and the turn from..."
C LIT186FF,NOIR: 1940's Film and Fiction,"Focuses on learning the terminology, historical context, and main theories that will help develop an informed understanding of film noir as a narrative film genre."
C LIT186FL,"Vegetarianism: Food, Literature, Philosophy","The philosophical, religious and literary history of vegetarianism and animal ethics from the Antiquity to the present. Topics include the debate on animal consumption in the Buddhist canon and recent representations of vegetarianism in western liter..."
C LIT186FR,Interdisciplinary Comparative Literature Studies,"Interdisciplinary examination of selected topics, theories, disciplinary issues, and/or methodological questions in the combined study of literature, and other areas of the humanities and humanistic sciences. Course focus will be determined by the in..."
C LIT186FW,Iceland's Folklore and Witchcraft,"Intensive two-week summer course taught in Iceland offering an overview of how concepts of magic, wisdom, knowledge of the world and the occult shaped folklore, society, and material culture in Iceland compared with similar phenomena elsewhere, and c..."
C LIT186G,Dostoevsky,"Intensive study of one author. Readings supplemented by select criticism. Readings and lectures in English. Pushkin, Gogol, Leskov, Turgenev, Goncharov, Chekhov, Dostoevsky,Tolstoy, Nabokov, Bulgakov."
C LIT186GG,Interdisciplinary Comparative Literature Studies,"Interdisciplinary examination of selected topics, theories, disciplinary issues, and/or methodological questions in the combined study of literature, and other areas of the humanities and humanistic sciences. Course focus will be determined by the in..."
C LIT186HH,Interdisciplinary Comparative Literature Studies,"Interdisciplinary examination of selected topics, theories, disciplinary issues, and/or methodological questions in the combined study of literature, and other areas of the humanities and humanistic sciences. Course focus will be determined by the in..."
C LIT186II,Women and Revolution 1790s and 1960s,"Focuses on the participation of women in two major decades, 1790s and 1960s, movements associated with the French Revolution, the abolition of the slave trade in England, France, and the Western Indies and the civil rights movements in the U.S. and P..."
C LIT186IR,Ideology and Representation,"How do representations of the ""enemy"" or of terrible accidents, during a conflict or massive disaster and in their aftermath, influence our attitudes toward that conflict or disaster? An examination of the images of the opponent or massive disasters..."
C LIT186JJ,Literatures in the Juvenile Justice System - Theory into Practice,"Students in the course will be reading a range of materials from multiple genres, among them fiction and non-fiction, critical race theory, poetry & plays (among other offerings), while forming mentoring relationships with youth at Los Prietos Boys C..."
C LIT186LF,Legal Fictions,How do we recognize characters in stories as being true to life? What does this say about how we know and value one another as individuals in real life? We will pursue these questions by focusing on literatures engagement with legal fictions designed...
C LIT186LJ,Literary Journalism,"Literary journalists and reporters from Europe and America as fiction writers and fact gatherers. Foci include the journalists' personal voices, immersion within their subjects, literary techniques, and the relationships between reporting, informatio..."
C LIT186LS,Literatures of the Sea,"The premodern Mediterranean was a site of civilizational confluence, conflict, and transformation, which historians have characterized as both fragmentation and connectivity. This course addresses tales of love, sex, and slavery in medieval and early..."
C LIT186MD,Moby-Dick and the Hunt for Modern Meaning,"Melvilles massive and unwieldy tale of mad Captain Ahabs hunt for the White Whale has been called the seminal American epic. It contains the cosmos, says Harold Bloom, adding, somewhat more controversially, that he would not change one sentence... We..."
C LIT186ML,Iceland's Medieval Literature: Eddas and Sagas,Intensive two-week summer course taught in Iceland. Builds a comprehensive overview of medieval Icelandic literature through the reading of the works in translation and field trips around the island. Students learn why the flowering of this great lit...
C LIT186NA,Interdisciplinary Comparative Literature Studies,"Interdisciplinary examination of selected topics, theories, disciplinary issues, and/or methodological questions in the combined study of literature, and other areas of the humanities and humanistic sciences. Course focus will be determined by the in..."
